course_id,title,platform,provider,level,duration,rating,skills,price
453,Game Design: Art and Concepts,Coursera,California Institute of the Arts,Beginner,450.0,4.7,"['"" Writing""}', '{"" Creativity""', '"" Storytelling""']",0.0
454,Convolutional Neural Networks in TensorFlow,Coursera,DeepLearning.AI,Intermediate,35.0,4.7,"['"" Applied Machine Learning""', '{"" Machine Learning""', '"" Computer Vision""', '"" Python Programming""', '"" Machine Learning Software""}', '"" Artificial Neural Networks""', '"" Human Learning""', '"" Tensorflow""', '"" Deep Learning""', '"" Machine Learning Algorithms""']",0.0
455,Work Smarter with Microsoft Excel,Coursera,Microsoft,Beginner,150.0,4.7,"['"" Data Analysis Software""', '"" Spreadsheet Software""', '"" Data Visualization""', '"" Databases""', '"" Microsoft Excel""', '"" Data Analysis""', '"" Visual Design""}', '{"" Critical Thinking""', '"" Data Model""', '"" Operational Analysis""']",0.0
456,Managerial Accounting Fundamentals,Coursera,University of Virginia,Beginner,35.0,4.8,"['"" Account Management""', '"" General Accounting""', '"" Financial Accounting""', '"" Cost Accounting""', '"" Finance""', '"" Management Accounting""', '"" Leadership and Management""', '{"" Accounting""', '"" Budget Management""', '"" Generally Accepted Accounting Principles (GAAP)""}']",0.0
457,Learn Spanish: Basic Spanish Vocabulary,Coursera,"University of California, Davis",Beginner,450.0,4.6,"['"" Writing""', '"" Culture""}', '{"" Communication""']",0.0
458,Extended Reality for Everybody,Coursera,University of Michigan,Beginner,150.0,4.6,"['"" User Experience Design""', '"" Interactive Design""', '"" Product Design""', '"" Virtual Reality""', '"" Visual Design""', '"" User Experience""', '"" Product Development""', '"" Research and Design""', '{"" Human Computer Interaction""', '"" Systems Design""}', '"" Application Development""', '"" Computer Programming""', '"" Design and Product""', '"" Computer Graphics""']",0.0
459,Data Management for Clinical Research,Coursera,Vanderbilt University,Beginner,150.0,4.7,"['"" Data Structures""', '"" Planning""', '"" Critical Thinking""', '"" Data Management""', '{"" Clinical Data Management""', '"" Database Administration""}']",0.0
460,Data Analysis with R,Coursera,Duke University,Beginner,450.0,4.7,"['"" Regression""', '"" Critical Thinking""', '"" Correlation And Dependence""', '"" Basic Descriptive Statistics""', '"" Statistical Programming""', '"" Data Analysis""', '"" Exploratory Data Analysis""', '"" Statistical Analysis""', '"" Problem Solving""', '"" Probability & Statistics""', '"" Bayesian Statistics""', '"" Computer Programming""}', '"" Bayesian Network""', '{"" General Statistics""', '"" R Programming""', '"" Statistical Visualization""', '"" Statistical Tests""', '"" Plot (Graphics)""', '"" Probability Distribution""']",0.0
461,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Coursera,Hebrew University of Jerusalem,All Levels,150.0,4.9,"['"" Theoretical Computer Science""', '"" Computer Architecture""', '"" Problem Solving""', '"" Critical Thinking""', '"" Hardware Design""', '{"" Computational Logic""', '"" Computer Programming Tools""', '"" Systems Design""}', '"" Computer Programming""']",0.0
462,Behavioral Finance,Coursera,Duke University,Beginner,35.0,4.4,"['{"" Behavioral Economics""', '"" Strategy""}', '"" Decision Making""', '"" Probability & Statistics""', '"" Problem Solving""', '"" Critical Thinking""', '"" Business Psychology""', '"" Finance""', '"" People Analysis""', '"" Investment Management""']",0.0
463,Customer Experiences with Contact Center AI - Dialogflow CX,Coursera,Google Cloud,Beginner,450.0,4.4,"['{"" Machine Learning""', '"" Interactive Design""', '"" Google Cloud Platform""', '"" Machine Learning Software""', '"" Computer Architecture""', '"" Natural Language Processing""', '"" Computer Programming Tools""', '"" Human Computer Interaction""', '"" User Experience Design""', '"" Customer Relationship Management""', '"" Data Management""', '"" User Experience""', '"" Operations Management""}', '"" Applied Machine Learning""', '"" Strategy and Operations""', '"" Cloud-Based Integration""', '"" Search Engine Optimization""', '"" Application Development""', '"" Design and Product""', '"" Customer Success""']",0.0
464,"Introduction to Web Development with HTML, CSS, JavaScript",Coursera,IBM,Beginner,150.0,4.6,"['"" Javascript""}', '"" Cloud Applications""', '{"" Web Development""']",0.0
465,Organizational Leadership,Coursera,Northwestern University,Intermediate,450.0,4.7,"['"" Communication""', '"" Leadership Development""', '"" Organizational Development""', '"" Critical Thinking""', '"" Negotiation""', '"" Innovation""', '"" Marketing""', '"" Collaboration""', '"" Storytelling""}', '"" Performance Management""', '"" Decision Making""', '"" Strategy""', '"" Change Management""', '"" Business Psychology""', '"" Influencing""', '{"" Leadership and Management""', '"" Strategy and Operations""', '"" Employee Relations""', '"" People Development""', '"" People Analysis""']",0.0
466,Introduction to Psychology,Coursera,University of Toronto,All Levels,150.0,4.9,"['{""(4.9k reviews)""}']",0.0
467,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Coursera,Autodesk,Advanced,35.0,4.7,"['"" User Experience Design""', '{"" Computer Graphics""', '"" Computer Graphic Techniques""', '"" Visualization (Computer Graphics)""}', '"" Software Architecture""', '"" Research and Design""', '"" Feature Engineering""', '"" Software Engineering""', '"" Design and Product""']",0.0
468,Investment and Portfolio Management,Coursera,Rice University,Beginner,450.0,4.5,"['"" Behavioral Economics""', '"" Market Analysis""', '"" Statistical Tests""', '"" Financial Analysis""', '"" Probability & Statistics""', '"" Mathematics""', '"" Mathematical Theory & Analysis""}', '"" Investment Management""', '"" Business Psychology""', '{"" Finance""', '"" Correlation And Dependence""', '"" Leadership and Management""', '"" Risk Management""']",0.0
469,Viral Marketing and How to Craft Contagious Content,Coursera,University of Pennsylvania,All Levels,35.0,4.8,"['"" Marketing""', '"" Market Analysis""}', '"" Communication""', '"" Social Media""', '"" Strategy""', '{"" Brand Management""', '"" Critical Thinking""', '"" People Analysis""', '"" Influencing""', '"" Media Strategy & Planning""']",0.0
470,"Aspectos básicos: Datos, datos, en todas partes",Coursera,Google,Beginner,150.0,4.8,"['"" Data Analysis Software""', '"" Spreadsheet Software""', '"" Process Analysis""', '"" Data Structures""', '"" Strategy""', '"" Business Analysis""', '"" Databases""', '"" Data Management""', '"" SQL""', '"" Exploratory Data Analysis""', '{"" Data Analysis""', '"" Microsoft Excel""}']",0.0
471,Project Planning,Coursera,"University of California, Irvine",Beginner,150.0,4.8,"['{"" Leadership and Management""', '"" Planning""}']",0.0
472,"Make the Sale: Build, Launch, and Manage E-commerce Stores",Coursera,Google,Beginner,35.0,4.8,"['"" Sales""', '"" Marketing""', '"" Advertising""', '"" Strategy""}', '"" Marketing Management""', '{"" E-Commerce""', '"" Digital Marketing""', '"" Media Strategy & Planning""']",0.0
473,"AI, Business & the Future of Work",Coursera,Lund University,Beginner,35.0,4.7,"['{"" Leadership and Management""', '"" Machine Learning""', '"" Organizational Development""}', '"" Strategy""', '"" Human Learning""', '"" Algorithms""', '"" Human Resources""', '"" Machine Learning Algorithms""', '"" Human Computer Interaction""', '"" Business Process Management""']",0.0
