Link to course,subject ,Category link,Mode,Name,About,Price,Offered By,Duration,Availability
https://pll.harvard.edu/course/healthy-feet,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online,Healthy Feet,"Learn about them in our in-depth online course, where videos, photo features, expandable boxes, charts, and quizzes make the discovery fun.",$30,Harvard Kennedy School,Self-paced,Available now
https://pll.harvard.edu/course/bladder-and-bowel-control,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online,Bladder and Bowel Control,"In this information-packed course, anyone dealing with urinary and/or fecal incontinence will learn about the causes and symptoms.",$30,Harvard Kennedy School,Self-paced,Available now
https://pll.harvard.edu/course/managing-yourself-and-leading-others-0,Business,https://pll.harvard.edu/subject/business,In-Person,Managing Yourself and Leading Others,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.,"$2,990",Harvard Kennedy School,Self-paced,Starts Sep 4
https://pll.harvard.edu/course/strategic-sales-management,Business,https://pll.harvard.edu/subject/business,Online Live,Strategic Sales Management,"Learn proven sales management strategies and techniques to lead yourself, your direct reports, and your organization.","$2,750",Harvard Kennedy School,Self-paced,Starts Sep 4
https://pll.harvard.edu/course/beyond-strategic-planning-implementation-sustainment,Business,https://pll.harvard.edu/subject/business,In-Person,Beyond Strategic Planning: From Implementation to Sustainment,"Successfully navigate the challenges inherent in making your organizational, departmental, and project-specific plans come to life.","$2,990",Harvard Kennedy School,Self-paced,Starts Sep 4
https://pll.harvard.edu/course/leading-digital-transformation-health-care,Business,https://pll.harvard.edu/subject/business,Online,Leading Digital Transformation in Health Care,"This is a Harvard Medical School online executive education program designed to provide business leaders with the knowledge, tools and strategies to design and implement technology-enabled change initiatives in health care.","$2,900",Harvard Kennedy School,Self-paced,NA
https://pll.harvard.edu/course/clinical-development-strategies-beyond-clinical-trials,Business,https://pll.harvard.edu/subject/business,Online,Clinical Development Strategies: Beyond Clinical Trials,Clinical Development Strategies: Beyond Clinical Trials will equip you to use the right tools and technologies to unlock increased value in clinical development projects and help facilitate the success of products throughout their development life cycles.,"$5,950",Harvard Kennedy School,Self-paced,Opens Sep 5
https://pll.harvard.edu/course/strategic-project-management,Business,https://pll.harvard.edu/subject/business,In-Person,Strategic Project Management,"Plan, manage, and execute projects that are essential to the success of your business.","$2,990",Harvard Kennedy School,Self-paced,Starts Sep 9
https://pll.harvard.edu/course/artificial-intelligence-business-creating-value-machine-learning,Business,https://pll.harvard.edu/subject/business,In-Person,Artificial Intelligence in Business: Creating Value with Machine Learning,Leverage new technologies to build value for your organization.,"$2,990",Harvard Kennedy School,Self-paced,Starts Sep 9
https://pll.harvard.edu/course/questions-core-extending-question-formulation-technique-sustain-inquiry-based-culture,Education & Teaching,https://pll.harvard.edu/subject/education-teaching,Online,Questions at the Core: Extending the Question Formulation Technique to Sustain an Inquiry-based Culture in Schools,Strengthen and refine your inquiry aptitude.,$375,Harvard Kennedy School,3 weeks long,NA
https://pll.harvard.edu/course/strategy-execution,Business,https://pll.harvard.edu/subject/business,Online,Strategy Execution,"This course from Harvard Business School (HBS) Online will equip you with the tools, skills, and frameworks to allocate resources, measure performance, and manage risk so you can successfully implement strategy within your organization.","$1,850",Harvard Kennedy School,8 weeks long,NA
https://pll.harvard.edu/course/management-essentials,Business,https://pll.harvard.edu/subject/business,Online,Management Essentials,"Master the tools and tactics you need to excel in decision-making, implementation, organizational learning, and change management to move your organization forward with this course from Harvard Business School (HBS) Online.","$1,850",Harvard Kennedy School,8 weeks long,NA
https://pll.harvard.edu/course/leading-finance,Business,https://pll.harvard.edu/subject/business,Online,Leading with Finance,"Build an intuitive understanding of financial principles to better understand the market in which your organization operates, create and access value, and communicate with key stakeholders in this course from Harvard Business School (HBS) Online.","$1,850",Harvard Kennedy School,6 weeks long,Opens Sep 11
https://pll.harvard.edu/course/digital-marketing-strategy-2,Business,https://pll.harvard.edu/subject/business,Online,Digital Marketing Strategy,Develop marketing strategies that reach and retain customers in this course from Harvard Business School (HBS) Online.,"$1,850",Harvard Kennedy School,6 weeks long,Opens Sep 11
https://pll.harvard.edu/course/behavioral-decision-making,Business,https://pll.harvard.edu/subject/business,In-Person,Behavioral Decision Making,Gain the critical knowledge and tools you need to make smarter decisions for your organization—and yourself.,"$2,990",Harvard Kennedy School,Self-paced,Starts Sep 11
https://pll.harvard.edu/course/harvard-vpal-crispr-gene-editing-applications,Science,https://pll.harvard.edu/subject/science,Online,Harvard VPAL CRISPR: Gene-editing Applications,Explore the ways in which CRISPR is disrupting sectors across the economy with Harvard VPAL.,"$1,680 - $1,680",Harvard Kennedy School,9 weeks long,NA
https://pll.harvard.edu/course/cybersecurity-managing-risk-information-age,Business,https://pll.harvard.edu/subject/business,Online,Cybersecurity: Managing Risk in the Information Age,Lead the strategic response to cyber risk.,"$3,045 - $3,045",Harvard Kennedy School,9 weeks long,NA
https://pll.harvard.edu/course/ai-health-care-strategies-implementation-0,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online,AI in Health Care: From Strategies to Implementation,"The program’s curriculum prepares leaders to make informed decisions and envision strategic AI implementation in the unique cultural, economic and regulatory context of health care.","$2,900",Harvard Kennedy School,Self-paced,Opens Sep 12
https://pll.harvard.edu/course/finance-senior-executives,Business,https://pll.harvard.edu/subject/business,Blended,Finance for Senior Executives,"Strengthen your contribution with a deeper understanding of financial analysis, profit planning, capital markets, compensation, and more.","$14,000",Harvard Kennedy School,16 days long,Starts Sep 13
https://pll.harvard.edu/course/thoracic-pathology,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online Live,Thoracic Pathology,A broad over-view of thoracic pathology with clinical correlation.,"$300 - $1,000",Harvard Kennedy School,Self-paced,Starts Sep 13
https://pll.harvard.edu/course/applied-risk-communication-21st-century-1,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online,Applied Risk Communication for the 21st Century,"Design effective risk communication messages to improve communication, increase trust in your organization, reduce public anxiety, and help stakeholders make better decisions.","$2,400",Harvard Kennedy School,Self-paced,NA
