Link,Institution,Name,Rating,Review,Duration,Spend time per week,Category,Type
https://www.futurelearn.com/courses/designing-human-centred-ai-products-and-services,Hanyang University,designing human centred ai products and services,NA,NA,6 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/introduction-azure-architect-technologies,FutureLearn,introduction azure architect technologies,NA,NA,5 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/designing-play-based-learning,Federation University,designing play based learning,NA,NA,2 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/designing-walkability-in-cities,RMIT University & EIT Urban Mobility,designing walkability in cities,NA,NA,2 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/complex-healthcare-interventions,University of Bergen,complex healthcare interventions,NA,NA,5 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/clinical-empathy,"St George's, University of London",clinical empathy,4.8,(180 reviews),2 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/developing-ideas-and-content-for-your-digital-strategy,The University of Adelaide,developing ideas and content for your digital strategy,NA,NA,4 weeks,1 hr per week,Premium course,courses
https://www.futurelearn.com/courses/developing-your-marketing-strategy,The University of Adelaide,developing your marketing strategy,NA,NA,4 weeks,1 hr per week,Premium course,courses
https://www.futurelearn.com/courses/research-project,University of Southampton,research project,4.5,(106 reviews),8 weeks,1 hr per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/african-cities,"UCL (University College London), Sierra Leone Urban Research Centre & Njala University",african cities,4.7,(35 reviews),4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/diabetic-eye-disease,London School of Hygiene & Tropical Medicine,diabetic eye disease,4.9,(61 reviews),4 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/rare-genetic-disease,Foundation for Rare Diseases & European Joint Programme on Rare Diseases,rare genetic disease,4.8,(52 reviews),5 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/investing-in-diagnostics-for-the-silent-amr-pandemic-what-has-covid-19-taught-us-,London School of Hygiene & Tropical Medicine,investing in diagnostics for the silent amr pandemic what has covid 19 taught us ,4.7,(9 reviews),3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digitaldiscovery,Deakin University & Australia Post,digitaldiscovery,4.7,(6 reviews),4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-fashion-media,Condé Nast College,digital fashion media,NA,NA,3 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-health-essentials,Universiti Malaya,digital health essentials,4.6,(5 reviews),2 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-cancer-management,Taipei Medical University,digital cancer management,NA,NA,4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-literacy-sustainable-development-in-the-information-age,Chung Yuan Christian University (CYCU),digital literacy sustainable development in the information age,NA,NA,7 weeks,1 hr per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-marketing-analytics-measurement-advanced-web-analytics,The Open University & Target Internet,digital marketing analytics measurement advanced web analytics,NA,NA,2 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-analytics-measurement-goals-and-attribution-modelling,The Open University & Target Internet,digital marketing analytics measurement goals and attribution modelling,NA,NA,2 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-analytics-measurement-reporting-dashboards,The Open University & Target Internet,digital marketing analytics measurement reporting dashboards,NA,NA,2 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-analytics-measurement-web-analytics-in-perspective,The Open University & Target Internet,digital marketing analytics measurement web analytics in perspective,NA,NA,2 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-analytics-measurement-web-analytics-planning-and-tactics,The Open University & Target Internet,digital marketing analytics measurement web analytics planning and tactics,NA,NA,2 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-content-creation-hosting-and-measurement,The Open University & Target Internet,digital marketing content creation hosting and measurement,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-content-creation-marketing-channels-and-content-mix,The Open University & Target Internet,digital marketing content creation marketing channels and content mix,4.8,(5 reviews),2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-content-creation-online-writing,The Open University & Target Internet,digital marketing content creation online writing,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-content-creation-podcast-creation-and-distribution,The Open University & Target Internet,digital marketing content creation podcast creation and distribution,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-content-creation-video-creation-and-editing,The Open University & Target Internet,digital marketing content creation video creation and editing,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/introduction-to-digital-marketing-digital-marketing-in-perspective,The Open University & Target Internet,introduction to digital marketing digital marketing in perspective,NA,NA,2 weeks,3 hrs per week,NA,courses
