Course link,Course Code,Category,Sub Category,Name ,Instructure,Topic,Resource Type
https://ocw.mit.edu/courses/21g-110-chinese-iv-streamlined-spring-2004/,21G.110 , Undergraduate,courses,Chinese IV (Streamlined),"Tong Chen, ","Humanities, Language, Chinese","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/21g-312-basic-themes-in-french-literature-and-culture-spring-2011/,21G.312 , Undergraduate,courses,Basic Themes in French Literature and Culture,"Prof. Bruno Perreau, ","Humanities, Literature, Language","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/2-717j-optical-engineering-spring-2002/,2.717J , Graduate,courses,Optical Engineering,"Prof. George Barbastathis, ","Engineering, Science, Physics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/4-401-environmental-technologies-in-buildings-fall-2018/,4.401, Undergraduate,courses,Environmental Technologies in Buildings,"Prof. Christoph Reinhart, ","Architecture, Fine Arts, Energy","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/4-638-drawings-numbers-five-centuries-of-digital-design-fall-2002/,4.638, Graduate,courses,Drawings & Numbers: Five Centuries of Digital Design,"Leonardo Diaz Borioli, Prof. Mario Carpo","Architecture, Mathematics, Fine Arts","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/4-661-theory-and-method-in-the-study-of-architecture-and-art-fall-2015/,4.661, Graduate,courses,Theory and Method in the Study of Architecture and Art,"Prof. Caroline Jones, ","Humanities, History, Architecture","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-453-quantum-optical-communication-fall-2016/,6.453, Graduate,courses,Quantum Optical Communication,"Prof. Jeffrey Shapiro, ","Engineering, Science, Physics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/2-993j-introduction-to-numerical-analysis-for-engineering-13-002j-spring-2005/,2.993J , Undergraduate,courses,Introduction to Numerical Analysis for Engineering (13.002J),"Prof. Henrik Schmidt, ","Engineering, Computer Science, Mathematics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-30-introduction-to-statistical-methods-in-economics-spring-2009/,14.3, Undergraduate,courses,Introduction to Statistical Methods in Economics,"Konrad Menzel, ","Mathematics, Probability and Statistics, Economics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-461-advanced-macroeconomics-i-fall-2012/,14.461, Graduate,courses,Advanced Macroeconomics I,"Prof. George-Marios Angeletos, Prof. Iván Werning","Economics, Social Science, Macroeconomics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-317-organizational-leadership-and-change-summer-2009/,15.317, Graduate,courses,Organizational Leadership and Change,"Janice Klein, ","Leadership, Business, Operations Management","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-472-building-earth-like-planets-from-nebular-gas-to-ocean-worlds-fall-2008/,12.472, Graduate,courses,Building Earth-like Planets: From Nebular Gas to Ocean Worlds,"Prof. Lindy Elkins-Tanton, ","Science, Physics, Earth Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/11-914-planning-communication-spring-2007/,11.914, Graduate,courses,Planning Communication,"Prof. Xavier de Souza Briggs, Prof. Langley Keyes","Communication, Social Science, Sociology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/9-12-experimental-molecular-neurobiology-fall-2006/,9.12, Undergraduate,courses,Experimental Molecular Neurobiology,"Prof. Yasunori Hayashi, Prof. Carlos Lois","Science, Biology, Cognitive Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/24-901-language-and-its-structure-i-phonology-fall-2010/,24.901," Undergraduate, Graduate",courses,Language and Its Structure I: Phonology,"Prof. Michael Kenstowicz, ","Humanities, Linguistics, Phonology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-01sc-principles-of-microeconomics-fall-2011/,14.01SC , Undergraduate,courses,Principles of Microeconomics,"Prof. Jonathan Gruber, ","Economics, Social Science, Microeconomics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-433-investments-spring-2003/,15.433, Graduate,courses,Investments,"Prof. Reto Gallati, ","Economics, Social Science, Business","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/8-03sc-physics-iii-vibrations-and-waves-fall-2016/,8.03SC , Undergraduate,courses,Physics III: Vibrations and Waves,"Prof. Yen-Jie Lee, ","Science, Physics, Atomic, Molecular, Optical Physics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-114-field-geology-i-fall-2005/,12.114, Undergraduate,courses,Field Geology I,"Prof. B. Clark Burchfiel, Ben Crosby","Science, Social Science, Earth Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-189-a-gentle-introduction-to-programming-using-python-january-iap-2011/,6.189, Undergraduate,courses,A Gentle Introduction to Programming Using Python,"Sarina Canelake, ","Engineering, Computer Science, Software Design and Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/pe-210-scuba-spring-2007/,PE.210 , Undergraduate,courses,SCUBA,"Prof. Halston Taylor, ","Health and Medicine, Physical Education and Recreation, ","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/mas-965-nextlab-i-designing-mobile-technologies-for-the-next-billion-users-fall-2008/,MAS.965 , Undergraduate,courses,NextLab I: Designing Mobile Technologies for the Next Billion Users,"Dr. Gari Clifford, Dr. Richard Fletcher","Engineering, Entrepreneurship, Social Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-820-turbulence-in-the-ocean-and-atmosphere-spring-2007/,12.82, Graduate,courses,Turbulence in the Ocean and Atmosphere,"Prof. Raffaele Ferrari, Prof. Glenn Flierl","Engineering, Science, Mechanical Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/cms-631-data-storytelling-studio-climate-change-spring-2017/,CMS.631 , Undergraduate,courses,Data Storytelling Studio: Climate Change,"Rahul Bhargava, ","Communication, Social Science, Visual Arts","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-s21-nuts-and-bolts-of-business-plans-january-iap-2014/,15.S21 , Graduate,courses,Nuts and Bolts of Business Plans,"Joseph Hadzima, ","Entrepreneurship, Innovation, Management","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/16-121-analytical-subsonic-aerodynamics-fall-2017/,16.121, Graduate,courses,Analytical Subsonic Aerodynamics,"Prof. Wesley Harris, ","Engineering, Aerospace Engineering, Aerodynamics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/24-118-paradox-and-infinity-spring-2019/,24.118, Undergraduate,courses,Paradox and Infinity,"Prof. Agustín Rayo, ","Humanities, Mathematics, Social Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/5-512-synthetic-organic-chemistry-ii-spring-2005/,5.512, Graduate,courses,Synthetic Organic Chemistry II,"Prof. Rick Danheiser, ","Engineering, Science, Chemistry","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-827-multithreaded-parallelism-languages-and-compilers-fall-2002/,6.827, Graduate,courses,Multithreaded Parallelism: Languages and Compilers,"Prof. Arvind, ","Engineering, Computer Science, Software Design and Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-976-high-speed-communication-circuits-and-systems-spring-2003/,6.976, Graduate,courses,High Speed Communication Circuits and Systems,"Prof. Michael Perrott, ","Engineering, Computer Science, Electrical Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/9-52-b-topics-in-brain-and-cognitive-sciences-human-ethology-spring-2001/,9.52-B , Undergraduate,courses,Topics in Brain and Cognitive Sciences Human Ethology,"Prof. Gerald E. Schneider, ","Science, Social Science, Cognitive Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/9-110j-neurology-neuropsychology-and-neurobiology-of-aging-spring-2005/,9.110J , Graduate,courses,"Neurology, Neuropsychology, and Neurobiology of Aging","Prof. Suzanne Corkin, Prof. Vernon M. Ingram","Science, Health and Medicine, Biology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/es-253-aids-and-poverty-in-africa-spring-2005/,ES.253 , Undergraduate,courses,AIDS and Poverty in Africa,"Raja Bobbili, Dr. Lee Perlman","Health and Medicine, The Developing World, Society","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-141-electron-microprobe-analysis-january-iap-2012/,12.141, Undergraduate,courses,Electron Microprobe Analysis,"Dr. Nilanjan Chatterjee, ","Science, Chemistry, Analytical Chemistry","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-872-system-dynamics-ii-fall-2013/,15.872, Graduate,courses,System Dynamics II,"Prof. Hazhir Rahmandad, Prof. John Sterman","Engineering, Management, Systems Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/8-333-statistical-mechanics-i-statistical-mechanics-of-particles-fall-2013/,8.333, Graduate,courses,Statistical Mechanics I:  Statistical Mechanics of Particles,"Prof. Mehran Kardar, ","Science, Physics, Mathematics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-431-entrepreneurial-finance-spring-2011/,15.431, Graduate,courses,Entrepreneurial Finance,"Prof. Antoinette Schoar, ","Entrepreneurship, Economics, Social Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-740-paleoceanography-spring-2008/,12.74, Graduate,courses,Paleoceanography,"Prof. Edward Boyle, ","Science, Earth Science, Geochemistry","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/2-993j-introduction-to-numerical-analysis-for-engineering-13-002j-spring-2005/,2.993J , Undergraduate,courses,Introduction to Numerical Analysis for Engineering (13.002J),"Prof. Henrik Schmidt, ","Engineering, Computer Science, Mathematics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-30-introduction-to-statistical-methods-in-economics-spring-2009/,14.3, Undergraduate,courses,Introduction to Statistical Methods in Economics,"Konrad Menzel, ","Mathematics, Probability and Statistics, Economics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-461-advanced-macroeconomics-i-fall-2012/,14.461, Graduate,courses,Advanced Macroeconomics I,"Prof. George-Marios Angeletos, Prof. Iván Werning","Economics, Social Science, Macroeconomics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-317-organizational-leadership-and-change-summer-2009/,15.317, Graduate,courses,Organizational Leadership and Change,"Janice Klein, ","Leadership, Business, Operations Management","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-472-building-earth-like-planets-from-nebular-gas-to-ocean-worlds-fall-2008/,12.472, Graduate,courses,Building Earth-like Planets: From Nebular Gas to Ocean Worlds,"Prof. Lindy Elkins-Tanton, ","Science, Physics, Earth Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/11-914-planning-communication-spring-2007/,11.914, Graduate,courses,Planning Communication,"Prof. Xavier de Souza Briggs, Prof. Langley Keyes","Communication, Social Science, Sociology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/9-12-experimental-molecular-neurobiology-fall-2006/,9.12, Undergraduate,courses,Experimental Molecular Neurobiology,"Prof. Yasunori Hayashi, Prof. Carlos Lois","Science, Biology, Cognitive Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/24-901-language-and-its-structure-i-phonology-fall-2010/,24.901," Undergraduate, Graduate",courses,Language and Its Structure I: Phonology,"Prof. Michael Kenstowicz, ","Humanities, Linguistics, Phonology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-01sc-principles-of-microeconomics-fall-2011/,14.01SC , Undergraduate,courses,Principles of Microeconomics,"Prof. Jonathan Gruber, ","Economics, Social Science, Microeconomics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/24-900-introduction-to-linguistics-fall-2012/,24.9, Undergraduate,courses,Introduction to Linguistics,"Prof. David Pesetsky, ","Humanities, Language, Linguistics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/24-946-linguistic-theory-and-the-japanese-language-fall-2004/,24.946, Undergraduate,courses,Linguistic Theory and the Japanese Language,"Prof. Shigeru Miyagawa, ","Humanities, Language, Linguistics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-837-computer-graphics-fall-2012/,6.837, Undergraduate,courses,Computer Graphics,"Prof. Frédo Durand, Prof. Wojciech Matusik","Engineering, Computer Science, Programming Languages","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/9-081-human-memory-and-learning-fall-2002/,9.081, Graduate,courses,Human Memory and Learning,"Prof. Anthony Wagner, ","Science, Biology, Cognitive Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/9-52-c-computational-cognitive-science-spring-2003/,9.52-C , Undergraduate,courses,Computational Cognitive Science,"Prof. Joshua Tenenbaum, ","Engineering, Science, Systems Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/20-450-molecular-and-cellular-pathophysiology-be-450-spring-2005/,20.45, Graduate,courses,Molecular and Cellular Pathophysiology (BE.450),"Prof. David Schauer, ","Science, Health and Medicine, Biology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/16-851-satellite-engineering-fall-2003/,16.851, Graduate,courses,Satellite Engineering,"Col. John Keesee, Prof. David Miller","Engineering, Aerospace Engineering, Astrodynamics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-665-power-and-negotiation-spring-2014/,15.665, Graduate,courses,Power and Negotiation,"Ofer Sharone, ","Management, Leadership, Business","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/3-21-kinetic-processes-in-materials-spring-2006/,3.21, Graduate,courses,Kinetic Processes in Materials,"Prof. Samuel Allen, Prof. Kenneth Russell","Engineering, Science, Physics","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/,6.041, Undergraduate,courses,Probabilistic Systems Analysis and Applied Probability,"Prof. John Tsitsiklis, ","Engineering, Mathematics, Systems Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/4-313-advanced-studio-on-the-production-of-space-fall-2016/,4.313," Undergraduate, Graduate",courses,Advanced Studio on the Production of Space,"Nikola Bojic, Prof. Gediminas Urbonas","Engineering, Architecture, Fine Arts","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
