Link,Course name,Course code,school,location,status
https://online.stanford.edu/courses/soe-yeeqmse-02-quantum-mechanics-scientists-and-engineers-2,Quantum Mechanics for Scientists and Engineers 2,SOE-YEEQMSE-02,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/xfds112-r-programming-fundamentals,R Programming Fundamentals,XFDS112,Stanford School of Humanities and Sciences,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/cs265-randomized-algorithms-and-probabilistic-analysis,Randomized Algorithms and Probabilistic Analysis,CS265,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/csp-xcw81-reading-writer-unlocking-creativity-through-literary-analysis,Reading Like a Writer: Unlocking Creativity through Literary Analysis,CSP-XCW81,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xlit78-reading-proust-pleasure,Reading Proust for Pleasure,CSP-XLIT78,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/gse-y0026-reading-learn-science,Reading to Learn in Science,GSE-Y0026,Stanford Graduate School of Education,NA ,NA 
https://online.stanford.edu/courses/sohs-ymusic0006-real-time-audio-signal-processing-faust,Real-Time Audio Signal Processing in Faust,SOHS-YMUSIC0006,Stanford School of Humanities and Sciences,"Online, self-paced,",Enrollment Open
https://online.stanford.edu/courses/cs234-reinforcement-learning,Reinforcement Learning,CS234,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/biomedin214-representations-and-algorithms-computational-molecular-biology,Representations and Algorithms for Computational Molecular Biology,BIOMEDIN214,Stanford School of Medicine,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/bioe301p-research-data-computation-visualization,"Research Data, Computation, & Visualization",BIOE301P,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/soeees-ygeoresgeo202-reservoir-geomechanics,Reservoir Geomechanics,SOEEES-YGEORESGEO202,Stanford Doerr School of Sustainability,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/csp-xarth56-revolutionary-avant-gardes-episodes-19th-century-european-art,Revolutionary Avant-Gardes: Episodes in 19th-Century European Art,CSP-XARTH56,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/som-biochem001-rna-biology-eterna-academy,RNA Biology with Eterna Academy,SOM-BIOCHEM001,Stanford School of Medicine,"Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/ee227-robot-perception,Robot Perception,EE227,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/engr319-robotics-and-autonomous-systems-seminar,Robotics and Autonomous Systems Seminar,ENGR319,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/aa289-robotics-and-autonomous-systems-seminar,Robotics and Autonomous Systems Seminar,AA289,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/cs529-robotics-and-autonomous-systems-seminar,Robotics and Autonomous Systems Seminar,CS529,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/csp-xcla76-roman-satire-then-and-now-horace-seneca-and-juvenal,"Roman Satire Then and Now: Horace, Seneca, and Juvenal",CSP-XCLA76,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xhis104-russias-great-and-infamous-tsars-imperial-romanovs-1613-1917,Russia’s Great and Infamous Tsars: The Imperial Romanovs (1613–1917),CSP-XHIS104,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/som-ycme0033-safetyquest-level-four-mastering-qi,SafetyQuest: Level Four - Mastering QI,SOM-YCME0033,Stanford School of Medicine,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/som-ycme0030-safetyquest-level-one-q1-basics,SafetyQuest: Level One - Q1 Basics,SOM-YCME0030,Stanford School of Medicine,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/som-ycme0032-safetyquest-level-three-implementing-qi,SafetyQuest: Level Three - Implementing QI,SOM-YCME0032,Stanford School of Medicine,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/som-ycme0031-safetyquest-level-two-moving-beyond-qi-basics,SafetyQuest: Level Two - Moving Beyond QI Basics,SOM-YCME0031,Stanford School of Medicine,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/xldr232-scaling-excellence-how-grow-and-spread-greatness,Scaling Excellence: How to Grow and Spread Greatness,XLDR232,Stanford School of Engineering,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/csp-xcls133-science-technology-art-interwoven-history,"Science, Technology, Art: An Interwoven History",CSP-XCLS133,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/sohs-y0007-semantics-first-order-logic,Semantics of First-Order Logic,SOHS-Y0007,Stanford School of Humanities and Sciences,NA ,NA 
https://online.stanford.edu/courses/ee309a-semiconductor-memory-devices-and-circuit-design,Semiconductor Memory Devices and Circuit Design,EE309A,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/ee392t-seminar-chip-test-and-debug,Seminar in Chip Test and Debug,EE392T,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/ee292e-seminar-series-image-systems-engineering,Seminar Series for Image Systems Engineering,EE292E,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/gsb-x0011-sharpen-your-communication-skills,Sharpen Your Communication Skills,GSB-X0011,Graduate School of Business,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/csp-xfict54w-short-fiction-workshop-build-story-ground,Short Fiction Workshop: Build a Story from the Ground Up,CSP-XFICT54W,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xfict104-short-fiction-workshop-elevate-your-craft,Short Fiction Workshop: Elevate Your Craft,CSP-XFICT104,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xfict105-short-fiction-workshop-four-beginnings-one-ending,"Short Fiction Workshop: Four Beginnings, One Ending",CSP-XFICT105,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/soe-ycs0012-shortest-paths-revisited-np-complete-problems-and-what-do-about-them,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",SOE-YCS0012,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/mse223-simulation,Simulation,MS&E223,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/sohs-yecon0001-social-and-economic-networks-models-and-analysis,Social and Economic Networks: Models and Analysis,SOHS-YECON0001,Stanford School of Humanities and Sciences,"Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/cs278-social-computing,Social Computing,CS278,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/cs349h-software-techniques-emerging-hardware-platforms,Software Techniques for Emerging Hardware Platforms,CS349H,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xeiet132-solar-cells,Solar Cells,XEIET132,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/aa279a-space-mechanics,Space Mechanics,AA279A,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/aa279c-spacecraft-attitude-determination-and-control,Spacecraft Attitude Determination and Control,AA279C,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/aa204-spacecraft-electric-propulsion,Spacecraft Electric Propulsion,AA204,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/csp-xspa04-spanish-conversation-and-culture,Spanish Conversation and Culture,CSP-XSPA04,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xcw165-speakeasy-pleasures-writing-good-dialogue,Speakeasy: The Pleasures of Writing Good Dialogue,CSP-XCW165,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/sohs-yclassics-sports-and-university,Sports and the University,SOHS-YCLASSICS,Stanford School of Humanities and Sciences,NA ,NA 
https://online.stanford.edu/courses/csp-xsci46-sports-nutrition,Sports Nutrition,CSP-XSCI46,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/gse-xcset0030-stanford-cset-school-leaders-program,Stanford CSET School Leaders Program,GSE-XCSET0030,Stanford Graduate School of Education,NA ,NA 
https://online.stanford.edu/courses/som-y0018-stanfords-short-course-breastfeeding,Stanford's Short Course on Breastfeeding,SOM-Y0018,Stanford School of Medicine,"Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/aa273-state-estimation-and-filtering-robotic-perception,State Estimation and Filtering for Robotic Perception,AA273,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/stats202-statistical-learning-and-data-science,Statistical Learning and Data Science,STATS202,Stanford School of Humanities and Sciences,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/sohs-ystatslearningp-statistical-learning-python,Statistical Learning with Python,SOHS-YSTATSLEARNINGP,Stanford School of Humanities and Sciences,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/sohs-ystatslearning-statistical-learning-r,Statistical Learning with R,SOHS-YSTATSLEARNING,Stanford School of Humanities and Sciences,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/stats110-statistical-methods-engineering-and-physical-sciences,Statistical Methods in Engineering and the Physical Sciences,STATS110,Stanford School of Humanities and Sciences,NA ,NA 
https://online.stanford.edu/courses/sohs-ystatsreasoning-statistical-reasoning,Statistical Reasoning,SOHS-YSTATSREASONING,Stanford School of Humanities and Sciences,NA ,NA 
https://online.stanford.edu/courses/csp-xtech105-statistics-ai-machine-learning-and-data-science,"Statistics for AI, Machine Learning, and Data Science",CSP-XTECH105,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xgen204-stem-cell-therapeutics,Stem Cell Therapeutics,XGEN204,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/mse221-stochastic-modeling,Stochastic Modeling,MS&E221,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/som-y0008-stories-infection,Stories of Infection,SOM-Y0008,Stanford School of Medicine,"Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/som-xcape110-strategies-debriefing-healthcare-scenarios,Strategies for Debriefing Healthcare Scenarios,SOM-XCAPE110,Stanford School of Medicine,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/xeiet110-strategies-sustainability,Strategies for Sustainability,XEIET110,"Stanford School of Engineering, Stanford Doerr School of Sustainability","Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/som-xche0016-supporting-families-and-caregivers,Supporting Families and Caregivers,SOM-XCHE0016,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/som-xche0014-symptom-management,Symptom Management,SOM-XCHE0014,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/cs229s-systems-machine-learning,Systems for Machine Learning,CS229S,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xdgt111-systems-leadership-managing-uncertainty-digital-age,Systems Leadership: Managing Uncertainty in the Digital Age,XDGT111,"Stanford School of Engineering, Graduate School of Business","Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/bioe103-systems-physiology-and-design,Systems Physiology and Design,BIOE103,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/ee310-systemx-ubiquitous-sensing-computing-and-communication-seminar,"SystemX: Ubiquitous Sensing, Computing and Communication Seminar",EE310,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/csp-xmus53-taylor-swift-and-millennial-america,Taylor Swift and Millennial America,CSP-XMUS53,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xldr226-team-collaboration-managing-across-boundaries,Team Collaboration: Managing Across Boundaries,XLDR226,Stanford School of Engineering,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/aa252-techniques-failure-analysis,Techniques of Failure Analysis,AA252,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/mse293-technology-and-national-security,Technology and National Security,MS&E293,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/intlpol256-technology-and-national-security,Technology and National Security,INTLPOL256,,NA ,NA 
https://online.stanford.edu/courses/mse256-technology-assessment-and-regulation-medical-devices,Technology Assessment and Regulation of Medical Devices,MS&E256,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/som-xche0020-telehealth-strategy-implementation-and-optimization,"Telehealth: Strategy, Implementation, and Optimization",SOM-XCHE0020,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced,",Enrollment Open
https://online.stanford.edu/courses/med251c-z-translational-medicine-emerging-trends-drug-development-and-next-gen-innovations,The A to Z of Translational Medicine: Emerging Trends in Drug Development and Next-gen Innovations,MED251C,Stanford School of Medicine,"Online, instructor-led",Not Yet Available
https://online.stanford.edu/courses/med251a-z-translational-medicine-fundamentals-and-technical-considerations-drug-development,The A to Z of Translational Medicine: Fundamentals and Technical Considerations of Drug Development,MED251A,Stanford School of Medicine,"Online, instructor-led",Not Yet Available
https://online.stanford.edu/courses/med251b-z-translational-medicine-strategic-challenges-drug-development,The A to Z of Translational Medicine: Strategic Challenges in Drug Development,MED251B,Stanford School of Medicine,"Online, instructor-led",Not Yet Available
https://online.stanford.edu/courses/soe-ycs0028-ai-awakening-implications-economy-and-society,The AI Awakening: Implications for the Economy and Society,SOE-YCS0028,Stanford School of Engineering,"Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/csp-xtech101-ai-leadership-series-introducing-ai-systems,The AI Leadership Series: Introducing AI Systems,CSP-XTECH101,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xcw44-art-cookbook-writing-plate-page,The Art of Cookbook Writing: From Plate to Page,CSP-XCW44,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xcom92-art-public-speaking,The Art of Public Speaking,CSP-XCOM92,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xcw19wa-creative-habit-cultivate-daily-writing-practice,The Creative Habit: Cultivate a Daily Writing Practice,CSP-XCW19WA,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xcw19wb-creative-habit-cultivate-daily-writing-practice,The Creative Habit: Cultivate a Daily Writing Practice,CSP-XCW19WB,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/mse494-energy-seminar,The Energy Seminar,MS&E494,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/mse254-ethical-analyst,The Ethical Analyst,MS&E254,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/ee261-fourier-transform-and-its-applications,The Fourier Transform and Its Applications,EE261,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xgeog05-historical-geography-us-presidential-elections,The Historical Geography of US Presidential Elections,CSP-XGEOG05,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xfd02w-history-culture-and-science-cheese-tasting-journey,"The History, Culture, and Science of Cheese: A Tasting Journey",CSP-XFD02W,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xdgt110-industrialists-dilemma-how-adapt-changing-landscape,The Industrialist’s Dilemma:  How to Adapt to a Changing Landscape,XDGT110,"Stanford School of Engineering, Graduate School of Business","Online, self-paced",Enrollment Open
